year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	20-24	4	3	5	48156	56585	35579
2015	F	20-24	4	3	4	48156	56585	35579
2015	F	20-24	4	3	1	72090	113485	57201
2015	F	20-24	3	1	2	48156	56585	35579
2015	F	20-24	3	1	3	48156	56585	35579
2015	F	20-24	3	1	5	48156	56585	35579
2015	F	20-24	3	1	4	48156	56585	35579
2015	F	20-24	3	1	1	72090	113485	57201
2015	F	20-24	3	4	2	48156	56585	35579
2015	F	20-24	3	4	3	48156	56585	35579
2015	F	20-24	3	4	5	48156	56585	35579
2015	F	20-24	3	4	4	48156	56585	35579
2015	F	20-24	3	4	1	72090	113485	57201
2015	F	20-24	3	2	2	48156	56585	35579
2015	F	20-24	3	2	3	48156	56585	35579
2015	F	20-24	3	2	5	48156	56585	35579
2015	F	20-24	3	2	4	48156	56585	35579
2015	F	20-24	3	2	1	72090	113485	57201
2015	F	20-24	3	3	2	48156	56585	35579
2015	F	20-24	3	3	3	48156	56585	35579
2015	F	20-24	3	3	5	48156	56585	35579
2015	F	20-24	3	3	4	48156	56585	35579
2015	F	20-24	3	3	1	72090	113485	57201
2015	F	20-24	2	1	2	48156	56585	35579
2015	F	20-24	2	1	3	48156	56585	35579
2015	F	20-24	2	1	5	48156	56585	35579
2015	F	20-24	2	1	4	48156	56585	35579
2015	F	20-24	2	1	1	72090	113485	57201
2015	F	20-24	2	4	2	48156	56585	35579
2015	F	20-24	2	4	3	48156	56585	35579
2015	F	20-24	2	4	5	48156	56585	35579
2015	F	20-24	2	4	4	48156	56585	35579
2015	F	20-24	2	4	1	72090	113485	57201
2015	F	20-24	2	2	2	48156	56585	35579
2015	F	20-24	2	2	3	48156	56585	35579
2015	F	20-24	2	2	5	48156	56585	35579
2015	F	20-24	2	2	4	48156	56585	35579
2015	F	20-24	2	2	1	72090	113485	57201
2015	F	20-24	2	3	2	48156	56585	35579
2015	F	20-24	2	3	3	48156	56585	35579
2015	F	20-24	2	3	5	48156	56585	35579
2015	F	20-24	2	3	4	48156	56585	35579
2015	F	20-24	2	3	1	72090	113485	57201
2015	F	25-29	1	1	2	49379	81369	89163
2015	F	25-29	1	1	3	49379	81369	89163
2015	F	25-29	1	1	5	49379	81369	89163
2015	F	25-29	1	1	4	49379	81369	89163
2015	F	25-29	1	1	1	60974	92291	97940
2015	F	25-29	1	4	2	49379	81369	89163
2015	F	25-29	1	4	3	49379	81369	89163
2015	F	25-29	1	4	5	49379	81369	89163
2015	F	25-29	1	4	4	49379	81369	89163
2015	F	25-29	1	4	1	60974	92291	97940
2015	F	25-29	1	2	2	49379	81369	89163
2015	F	25-29	1	2	3	49379	81369	89163
2015	F	25-29	1	2	5	49379	81369	89163
2015	F	25-29	1	2	4	49379	81369	89163
2015	F	25-29	1	2	1	60974	92291	97940
2015	F	25-29	1	3	2	49379	81369	89163
2015	F	25-29	1	3	3	49379	81369	89163
2015	F	25-29	1	3	5	49379	81369	89163
2015	F	25-29	1	3	4	49379	81369	89163
2015	F	25-29	1	3	1	60974	92291	97940
2015	F	25-29	4	1	2	49379	81369	89163
2015	F	25-29	4	1	3	49379	81369	89163
2015	F	25-29	4	1	5	49379	81369	89163
2015	F	25-29	4	1	4	49379	81369	89163
2015	F	25-29	4	1	1	60974	92291	97940
2015	F	25-29	4	4	2	49379	81369	89163
2015	F	25-29	4	4	3	49379	81369	89163
2015	F	25-29	4	4	5	49379	81369	89163
2015	F	25-29	4	4	4	49379	81369	89163
2015	F	25-29	4	4	1	60974	92291	97940
2015	F	25-29	4	2	2	49379	81369	89163
2015	F	25-29	4	2	3	49379	81369	89163
2015	F	25-29	4	2	5	49379	81369	89163
2015	F	25-29	4	2	4	49379	81369	89163
2015	F	25-29	4	2	1	60974	92291	97940
2015	F	25-29	4	3	2	49379	81369	89163
2015	F	25-29	4	3	3	49379	81369	89163
2015	F	25-29	4	3	5	49379	81369	89163
2015	F	25-29	4	3	4	49379	81369	89163
2015	F	25-29	4	3	1	60974	92291	97940
2015	F	25-29	3	1	2	49379	81369	89163
2015	F	25-29	3	1	3	49379	81369	89163
2015	F	25-29	3	1	5	49379	81369	89163
2015	F	25-29	3	1	4	49379	81369	89163
2015	F	25-29	3	1	1	60974	92291	97940
2015	F	25-29	3	4	2	49379	81369	89163
2015	F	25-29	3	4	3	49379	81369	89163
2015	F	25-29	3	4	5	49379	81369	89163
2015	F	25-29	3	4	4	49379	81369	89163
2015	F	25-29	3	4	1	60974	92291	97940
2015	F	25-29	3	2	2	49379	81369	89163
2015	F	25-29	3	2	3	49379	81369	89163
2015	F	25-29	3	2	5	49379	81369	89163
2015	F	25-29	3	2	4	49379	81369	89163
2015	F	25-29	3	2	1	60974	92291	97940
2015	F	25-29	3	3	2	49379	81369	89163
2015	F	25-29	3	3	3	49379	81369	89163
2015	F	25-29	3	3	5	49379	81369	89163
2015	F	25-29	3	3	4	49379	81369	89163
2015	F	25-29	3	3	1	60974	92291	97940
2015	F	25-29	2	1	2	49379	81369	89163
2015	F	25-29	2	1	3	49379	81369	89163
2015	F	25-29	2	1	5	49379	81369	89163
2015	F	25-29	2	1	4	49379	81369	89163
2015	F	25-29	2	1	1	60974	92291	97940
2015	F	25-29	2	4	2	49379	81369	89163
2015	F	25-29	2	4	3	49379	81369	89163
2015	F	25-29	2	4	5	49379	81369	89163
2015	F	25-29	2	4	4	49379	81369	89163
2015	F	25-29	2	4	1	60974	92291	97940
2015	F	25-29	2	2	2	49379	81369	89163
2015	F	25-29	2	2	3	49379	81369	89163
2015	F	25-29	2	2	5	49379	81369	89163
2015	F	25-29	2	2	4	49379	81369	89163
2015	F	25-29	2	2	1	60974	92291	97940
2015	F	25-29	2	3	2	49379	81369	89163
2015	F	25-29	2	3	3	49379	81369	89163
2015	F	25-29	2	3	5	49379	81369	89163
2015	F	25-29	2	3	4	49379	81369	89163
2015	F	25-29	2	3	1	60974	92291	97940
2015	F	30-34	1	1	2	75438	82695	115885
2015	F	30-34	1	1	3	75438	82695	115885
2015	F	30-34	1	1	5	75438	82695	115885
2015	F	30-34	1	1	4	75438	82695	115885
2015	F	30-34	1	1	1	87334	87995	120077
2015	F	30-34	1	4	2	75438	82695	115885
2015	F	30-34	1	4	3	75438	82695	115885
2015	F	30-34	1	4	5	75438	82695	115885
2015	F	30-34	1	4	4	75438	82695	115885
2015	F	30-34	1	4	1	87334	87995	120077
2015	F	30-34	1	2	2	75438	82695	115885
2015	F	30-34	1	2	3	75438	82695	115885
2015	F	30-34	1	2	5	75438	82695	115885
2015	F	30-34	1	2	4	75438	82695	115885
2015	F	30-34	1	2	1	87334	87995	120077
2015	F	30-34	1	3	2	75438	82695	115885
2015	F	30-34	1	3	3	75438	82695	115885
2015	F	30-34	1	3	5	75438	82695	115885
2015	F	30-34	1	3	4	75438	82695	115885
