year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3
2015	F	20-24	4	2	1	378889	843027	498971
2015	F	20-24	4	3	2	222812	468322	328577
2015	F	20-24	4	3	3	222812	468322	328577
2015	F	20-24	4	3	5	222812	468322	328577
2015	F	20-24	4	3	4	222812	468322	328577
2015	F	20-24	4	3	1	378889	843027	498971
2015	F	20-24	3	1	2	222812	468322	328577
2015	F	20-24	3	1	3	222812	468322	328577
2015	F	20-24	3	1	5	222812	468322	328577
2015	F	20-24	3	1	4	222812	468322	328577
2015	F	20-24	3	1	1	378889	843027	498971
2015	F	20-24	3	4	2	222812	468322	328577
2015	F	20-24	3	4	3	222812	468322	328577
2015	F	20-24	3	4	5	222812	468322	328577
2015	F	20-24	3	4	4	222812	468322	328577
2015	F	20-24	3	4	1	378889	843027	498971
2015	F	20-24	3	2	2	222812	468322	328577
2015	F	20-24	3	2	3	222812	468322	328577
2015	F	20-24	3	2	5	222812	468322	328577
2015	F	20-24	3	2	4	222812	468322	328577
2015	F	20-24	3	2	1	378889	843027	498971
2015	F	20-24	3	3	2	222812	468322	328577
2015	F	20-24	3	3	3	222812	468322	328577
2015	F	20-24	3	3	5	222812	468322	328577
2015	F	20-24	3	3	4	222812	468322	328577
2015	F	20-24	3	3	1	378889	843027	498971
2015	F	20-24	2	1	2	222812	468322	328577
2015	F	20-24	2	1	3	222812	468322	328577
2015	F	20-24	2	1	5	222812	468322	328577
2015	F	20-24	2	1	4	222812	468322	328577
2015	F	20-24	2	1	1	378889	843027	498971
2015	F	20-24	2	4	2	222812	468322	328577
2015	F	20-24	2	4	3	222812	468322	328577
2015	F	20-24	2	4	5	222812	468322	328577
2015	F	20-24	2	4	4	222812	468322	328577
2015	F	20-24	2	4	1	378889	843027	498971
2015	F	20-24	2	2	2	222812	468322	328577
2015	F	20-24	2	2	3	222812	468322	328577
2015	F	20-24	2	2	5	222812	468322	328577
2015	F	20-24	2	2	4	222812	468322	328577
2015	F	20-24	2	2	1	378889	843027	498971
2015	F	20-24	2	3	2	222812	468322	328577
2015	F	20-24	2	3	3	222812	468322	328577
2015	F	20-24	2	3	5	222812	468322	328577
2015	F	20-24	2	3	4	222812	468322	328577
2015	F	20-24	2	3	1	378889	843027	498971
2015	F	25-29	1	1	2	109791	586103	721843
2015	F	25-29	1	1	3	109791	586103	721843
2015	F	25-29	1	1	5	109791	586103	721843
2015	F	25-29	1	1	4	109791	586103	721843
2015	F	25-29	1	1	1	190206	753599	793183
2015	F	25-29	1	4	2	109791	586103	721843
2015	F	25-29	1	4	3	109791	586103	721843
2015	F	25-29	1	4	5	109791	586103	721843
2015	F	25-29	1	4	4	109791	586103	721843
2015	F	25-29	1	4	1	190206	753599	793183
2015	F	25-29	1	2	2	109791	586103	721843
2015	F	25-29	1	2	3	109791	586103	721843
2015	F	25-29	1	2	5	109791	586103	721843
2015	F	25-29	1	2	4	109791	586103	721843
2015	F	25-29	1	2	1	190206	753599	793183
2015	F	25-29	1	3	2	109791	586103	721843
2015	F	25-29	1	3	3	109791	586103	721843
2015	F	25-29	1	3	5	109791	586103	721843
2015	F	25-29	1	3	4	109791	586103	721843
2015	F	25-29	1	3	1	190206	753599	793183
2015	F	25-29	4	1	2	109791	586103	721843
2015	F	25-29	4	1	3	109791	586103	721843
2015	F	25-29	4	1	5	109791	586103	721843
2015	F	25-29	4	1	4	109791	586103	721843
2015	F	25-29	4	1	1	190206	753599	793183
2015	F	25-29	4	4	2	109791	586103	721843
2015	F	25-29	4	4	3	109791	586103	721843
2015	F	25-29	4	4	5	109791	586103	721843
2015	F	25-29	4	4	4	109791	586103	721843
2015	F	25-29	4	4	1	190206	753599	793183
2015	F	25-29	4	2	2	109791	586103	721843
2015	F	25-29	4	2	3	109791	586103	721843
2015	F	25-29	4	2	5	109791	586103	721843
