country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
UK	2015	F	15-19	1	0	1	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	0	2	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	0	4	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	0	3	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	0	0	626340	933485	120231	30135	31037	6708	43533	64562	13413
UK	2015	F	15-19	1	3	1	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	3	2	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	3	4	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	3	3	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	3	0	626340	933485	120231	30135	31037	6708	43533	64562	13413
UK	2015	F	15-19	1	1	1	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	1	2	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	1	4	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	1	3	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	1	0	626340	933485	120231	30135	31037	6708	43533	64562	13413
UK	2015	F	15-19	1	2	1	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	2	2	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	2	4	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	2	3	105234	463313	89667	3557	13873	5941	4524	23092	3909
UK	2015	F	15-19	1	2	0	626340	933485	120231	30135	31037	6708	43533	64562	13413
UK	2015	F	20-24	0	0	1	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	0	2	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	0	4	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	0	3	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	0	0	380226	941944	465489	29420	67748	39357	36195	79722	65352
UK	2015	F	20-24	0	3	1	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	3	2	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	3	4	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	3	3	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	3	0	380226	941944	465489	29420	67748	39357	36195	79722	65352
UK	2015	F	20-24	0	1	1	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	1	2	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	1	4	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	1	3	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	1	0	380226	941944	465489	29420	67748	39357	36195	79722	65352
UK	2015	F	20-24	0	2	1	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	2	2	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	2	4	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	2	3	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	0	2	0	380226	941944	465489	29420	67748	39357	36195	79722	65352
UK	2015	F	20-24	3	0	1	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	0	2	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	0	4	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	0	3	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	0	0	380226	941944	465489	29420	67748	39357	36195	79722	65352
UK	2015	F	20-24	3	3	1	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	3	2	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	3	4	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	3	3	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	3	0	380226	941944	465489	29420	67748	39357	36195	79722	65352
UK	2015	F	20-24	3	1	1	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	1	2	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	1	4	213957	692124	411258	20759	52805	32396	12699	41903	41994
UK	2015	F	20-24	3	1	3	213957	692124	411258	20759	52805	32396	12699	41903	41994
